title,author,normalizedTitle,normalizedAuthor,occurrenceCount,statesCount,districtsCount,topBanStatus,topOrigin,sampleChallenges
Sonny's House of Spies,"Lyon, George Ella",sonnys house of spies,lyon george ella,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Sorted: Growing Up, Coming Out, and Finding My Place","Bird, Jackson",sorted growing up coming out and finding my place,bird jackson,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Soul Eater, Vol. 1","Ohkubo, Atsushi",soul eater vol 1,ohkubo atsushi,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Soul Eater, Vol. 2","Ohkubo, Atsushi",soul eater vol 2,ohkubo atsushi,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Soul Eater, Vol. 3","Ohkubo, Atsushi",soul eater vol 3,ohkubo atsushi,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Soul Eater, Vol. 4","Ohkubo, Atsushi",soul eater vol 4,ohkubo atsushi,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Soul Eater, Vol. 5","Ohkubo, Atsushi",soul eater vol 5,ohkubo atsushi,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Soupy Leaves Home,"Castellucci, Cecil",soupy leaves home,castellucci cecil,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
SP4RX,"McDonald, Wren",sp4rx,mcdonald wren,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Space Battle Lunchtime, Vol. 2: A Recipe for Disaster","Riess, Natalie",space battle lunchtime vol 2 a recipe for disaster,riess natalie,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Speak: The Graphic Novel,"Anderson, Laurie Halse",speak the graphic novel,anderson laurie halse,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Spinning,"Walden, Tillie",spinning,walden tillie,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Spy x Family, Vol. 1","Endo, Tatsuya",spy x family vol 1,endo tatsuya,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Spy x Family, Vol. 2","Endo, Tatsuya",spy x family vol 2,endo tatsuya,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
